"Código INE" "Municipio" "ADN" "ADN%" "CONDEPA" "CONDEPA%" "LJ" "LJ%" "MAS" "MAS%" "MCC" "MCC%" "MIP" "MIP%" "MIR" "MIR%" "MNR" "MNR%" "NFR" "NFR%" "PS" "PS%" "UCS" "UCS%" "Válidos" "Blancos" "Nulos" "Emitidos"
"021801" "San Pedro de Curahuara" "40" "1,73" "15" "0,65" "23" "0,99" "870" "37,58" "19" "0,82" "526" "22,72" "268" "11,58" "291" "12,57" "179" "7,73" "48" "2,07" "36" "1,56" "2315" "227" "73" "2615"
"021802" "Papel Pampa" "38" "1,71" "3" "0,14" "27" "1,22" "814" "36,68" "11" "0,50" "313" "14,11" "331" "14,92" "386" "17,40" "178" "8,02" "17" "0,77" "101" "4,55" "2219" "169" "84" "2472"
"021803" "Chacarilla" "8" "2,00" "3" "0,75" "5" "1,25" "96" "23,94" "2" "0,50" "136" "33,92" "44" "10,97" "69" "17,21" "25" "6,23" "2" "0,50" "11" "2,74" "401" "55" "23" "479"
"021901" "Santiago de Machaca" "20" "1,41" "14" "0,99" "60" "4,24" "251" "17,73" "15" "1,06" "640" "45,20" "73" "5,16" "176" "12,43" "80" "5,65" "14" "0,99" "73" "5,16" "1416" "97" "39" "1552"
"021902" "Catacora" "3" "0,79" "0" "0,00" "15" "3,93" "73" "19,11" "1" "0,26" "142" "37,17" "33" "8,64" "45" "11,78" "47" "12,30" "2" "0,52" "21" "5,50" "382" "29" "8" "419"
"022001" "Caranavi" "167" "1,33" "57" "0,45" "362" "2,88" "6471" "51,47" "45" "0,36" "1410" "11,22" "1402" "11,15" "1221" "9,71" "1149" "9,14" "52" "0,41" "236" "1,88" "12572" "726" "398" "13696"
"030101" "Cochabamba" "3000" "1,39" "329" "0,15" "5854" "2,71" "50393" "23,35" "1871" "0,87" "874" "0,41" "13290" "6,16" "47946" "22,22" "85490" "39,62" "1070" "0,50" "5679" "2,63" "215796" "3608" "5699" "225103"
"030201" "Aiquile" "167" "2,45" "29" "0,43" "131" "1,92" "3154" "46,26" "50" "0,73" "298" "4,37" "1013" "14,86" "830" "12,17" "844" "12,38" "92" "1,35" "210" "3,08" "6818" "841" "295" "7954"
"030202" "Pasorapa" "23" "3,00" "3" "0,39" "3" "0,39" "61" "7,96" "9" "1,17" "12" "1,57" "83" "10,84" "287" "37,47" "273" "35,64" "5" "0,65" "7" "0,91" "766" "90" "74" "930"
"030203" "Omereque" "54" "3,63" "5" "0,34" "17" "1,14" "730" "49,03" "11" "0,74" "23" "1,54" "133" "8,93" "255" "17,13" "233" "15,65" "3" "0,20" "25" "1,68" "1489" "75" "36" "1600"
"030301" "Ayopaya (Villa de Independencia)" "107" "2,31" "37" "0,80" "51" "1,10" "2757" "59,46" "44" "0,95" "256" "5,52" "419" "9,04" "444" "9,58" "283" "6,10" "34" "0,73" "205" "4,42" "4637" "890" "318" "5845"
"030302" "Morochata" "151" "2,10" "25" "0,35" "40" "0,56" "5175" "71,87" "45" "0,62" "156" "2,17" "392" "5,44" "564" "7,83" "248" "3,44" "32" "0,44" "373" "5,18" "7201" "1077" "380" "8658"
"030401" "Tarata" "58" "1,85" "11" "0,35" "67" "2,14" "1303" "41,58" "16" "0,51" "24" "0,77" "163" "5,20" "471" "15,03" "720" "22,97" "14" "0,45" "287" "9,16" "3134" "280" "145" "3559"
